date,event,ticker,shares,price,value,cost
2026-09-11,MARK,,,,1000.0,
2026-09-14,FILL,SMH,1.0,539.27,539.27,0.5393
2026-09-14,MARK,,,,1001.69,
2026-09-15,MARK,,,,1002.3,
2026-09-16,MARK,,,,1005.75,
2026-09-17,MARK,,,,1020.8,
2026-09-18,MARK,,,,1033.19,
2026-09-21,MARK,,,,1056.22,
2026-09-22,MARK,,,,1067.65,
2026-09-23,MARK,,,,1061.6,
2026-09-24,MARK,,,,1060.71,
