hold_days,min_surprise,value
10,0.0,0.40456090238015135
10,2.5,0.3756275361202546
10,5.0,0.3641364711332597
10,10.0,0.3867800021425737
21,0.0,0.6145088538868223
21,2.5,0.617627503623103
21,5.0,0.6261365060261421
21,10.0,0.680860818990534
42,0.0,0.7986992934743
42,2.5,0.7937256986380132
42,5.0,0.8461295466797899
42,10.0,0.8349570944446061
63,0.0,0.972046556319859
63,2.5,0.9717232103350992
63,5.0,1.013229553898672
63,10.0,1.059125407025131
