lookback,skip,fraction,value
21,0,0.2,0.010179732921573563
21,0,0.3333333333333333,0.12268660546565965
21,0,0.5,-0.014013786476139536
21,21,0.2,-0.21882189417907197
21,21,0.3333333333333333,-0.3850708679082201
21,21,0.5,-0.41625136155604614
63,0,0.2,0.017253323641633702
63,0,0.3333333333333333,0.04732926269389818
63,0,0.5,-0.12555169058565468
63,21,0.2,-0.04699689450150238
63,21,0.3333333333333333,0.0448655899736097
63,21,0.5,0.13645823071594365
126,0,0.2,0.0449967366221799
126,0,0.3333333333333333,0.10783907073886788
126,0,0.5,0.029142341055209756
126,21,0.2,-0.04564325858296191
126,21,0.3333333333333333,0.0707741985849127
126,21,0.5,-0.02395344588626051
189,0,0.2,0.15282454944367824
189,0,0.3333333333333333,0.04481998115421508
189,0,0.5,-0.0035262182741961777
189,21,0.2,0.05813648118206335
189,21,0.3333333333333333,0.03661702380379793
189,21,0.5,-0.13952154082460225
252,0,0.2,0.19254808063691867
252,0,0.3333333333333333,0.05471309636706185
252,0,0.5,0.10125812240682731
252,21,0.2,-0.09260555609748926
252,21,0.3333333333333333,0.024963951330264335
252,21,0.5,0.025908191751982848
