lookback,skip,top_fraction,value
21,0,0.2,0.9082273435168433
21,0,0.3333333333333333,1.0063176451201388
21,0,0.5,0.9964744503015148
21,21,0.2,0.8137791911199992
21,21,0.3333333333333333,0.7797549744935445
21,21,0.5,0.8348567851351266
63,0,0.2,0.9060508755620948
63,0,0.3333333333333333,0.9687250003020509
63,0,0.5,0.934102493301308
63,21,0.2,0.7936092074044001
63,21,0.3333333333333333,0.9351061927211681
63,21,0.5,1.018154744611711
126,0,0.2,0.9264322124743998
126,0,0.3333333333333333,0.9648297926102932
126,0,0.5,0.9764071434196123
126,21,0.2,0.8272847642783642
126,21,0.3333333333333333,0.8867596612168605
126,21,0.5,0.9339015592229991
189,0,0.2,0.935549095296526
189,0,0.3333333333333333,0.9164714199609947
189,0,0.5,0.9343033778461415
189,21,0.2,0.9266611529094879
189,21,0.3333333333333333,0.9096137726440809
189,21,0.5,0.8601600150084624
252,0,0.2,0.9070074405773696
252,0,0.3333333333333333,0.8512152512980175
252,0,0.5,0.9342050590913258
252,21,0.2,0.8189925507922665
252,21,0.3333333333333333,0.875864720916755
252,21,0.5,0.9204642690488424
